configuration,desired_shoulder_rad,desired_elbow_rad,control_hz,duration_s,joint_rmse_rad,final_joint_error_rad,shoulder_overshoot_rad,elbow_overshoot_rad,settling_time_s
baseline,0.5,-0.4,10,7.999999999999341,0.3571325693965285,0.4893496996062536,0.22433697809678754,1.081480112876768,
baseline,0.5,-0.4,25,7.999999999999341,0.09021024027365895,0.03413978558506791,0.1476755413024612,0.08431526774317327,
baseline,0.5,-0.4,50,7.999999999999341,0.08122777172119533,0.0011250035365880271,0.14778852815657428,0.012035668960002077,4.113999999999769
baseline,0.5,-0.4,100,7.999999999999341,0.08156159520930824,0.0010057077628333737,0.14509467287387035,0.011602457167691316,3.2339999999998654
baseline,0.5,-0.4,250,7.999999999999341,0.08177001092304109,0.0009355824906914535,0.14351766208832528,0.01135234627955628,3.2399999999998648
baseline,0.5,-0.4,500,7.999999999999341,0.08184074766638545,0.0009124894002654221,0.14299877270243777,0.011270554311135328,3.2419999999998645
smaller_motion,0.25,-0.2,10,7.999999999999341,0.45207462139157123,0.5231089153738769,0.5005746223496367,1.285059946655523,
smaller_motion,0.25,-0.2,25,7.999999999999341,0.10174916009768814,0.11180994409765191,0.05409923017728224,0.16405829844752984,
smaller_motion,0.25,-0.2,50,7.999999999999341,0.04068023583404939,0.0005888822952561563,0.07402063297762457,0.006253880785274807,3.029999999999888
smaller_motion,0.25,-0.2,100,7.999999999999341,0.04084500915115793,0.0005171522317076766,0.07267702361646616,0.006029240838662769,3.027999999999888
smaller_motion,0.25,-0.2,250,7.999999999999341,0.04094797302330416,0.0004756404193791297,0.07189028459013203,0.005899575668509266,3.0259999999998883
smaller_motion,0.25,-0.2,500,7.999999999999341,0.04098293810026746,0.00046206974920229646,0.07163141466642603,0.005857179611646085,3.0239999999998886
positive_elbow,0.5,0.4,10,7.999999999999341,0.37198337630355643,0.0400364551302866,0.3857373851437583,0.9782133197127735,
positive_elbow,0.5,0.4,25,7.999999999999341,0.11252584489019174,0.031317011698887176,0.2235014228439426,0.10300392003142411,
positive_elbow,0.5,0.4,50,7.999999999999341,0.10104810547929695,0.0016074431281681237,0.21272965258229815,0.0438447180686225,4.361999999999742
positive_elbow,0.5,0.4,100,7.999999999999341,0.10095885748150261,0.0014371432982593448,0.20885408981020137,0.04304801217053761,4.359999999999742
positive_elbow,0.5,0.4,250,7.999999999999341,0.10091912134096392,0.0013370185202305341,0.20658528398648213,0.04257994630588979,4.357999999999742
positive_elbow,0.5,0.4,500,7.999999999999341,0.10090809502575986,0.0013040435909157696,0.20583892991766783,0.042425664969899635,4.355999999999742
