latency_ms,measurement_start_s,measurement_end_s,samples,tracking_rmse_m,peak_error_m,final_error_m,missed_detections_full_run
0,4.0,12.0,4001,0.015601311819200582,0.02247086533600354,0.014673113168610447,0
10,4.0,12.0,4001,0.015400092839452335,0.021426793242429697,0.016744653286449064,0
20,4.0,12.0,4001,0.0152609294067372,0.022743970786368608,0.017096266007493807,0
50,4.0,12.0,4001,0.014473261143874112,0.02367662523630798,0.015628182683298047,0
100,4.0,12.0,4001,0.01465459849463703,0.02528707005597693,0.015927130672006656,0
200,4.0,12.0,4001,0.014401250440725119,0.03187708847229769,0.0038032894247949493,0
