control_hz,duration_s,joint_rmse_rad,final_joint_error_rad,shoulder_overshoot_rad,elbow_overshoot_rad,settling_time_s
10,7.999999999999341,0.3571325693965285,0.4893496996062536,0.22433697809678754,1.081480112876768,
25,7.999999999999341,0.09021024027365895,0.03413978558506791,0.1476755413024612,0.08431526774317327,
50,7.999999999999341,0.08122777172119533,0.0011250035365880271,0.14778852815657428,0.012035668960002077,4.113999999999769
100,7.999999999999341,0.08156159520930824,0.0010057077628333737,0.14509467287387035,0.011602457167691316,3.2339999999998654
250,7.999999999999341,0.08177001092304109,0.0009355824906914535,0.14351766208832528,0.01135234627955628,3.2399999999998648
500,7.999999999999341,0.08184074766638545,0.0009124894002654221,0.14299877270243777,0.011270554311135328,3.2419999999998645
