latency_ms,time_s,tracking_error_m
0,4.0,0.014297760316160178
0,4.002,0.014354956624470719
0,4.0040000000000004,0.014414080095292804
0,4.006,0.014475029768075041
0,4.008,0.01453770847495152
0,4.01,0.01460202270878932
0,4.0120000000000005,0.014667882495775338
0,4.014,0.01473520127237881
0,4.016,0.01480389576653186
0,4.018,0.014873885882874647
0,4.0200000000000005,0.014945094591922132
0,4.022,0.01501744782301237
0,4.024,0.015090874360904371
0,4.026,0.015165305745897056
0,4.0280000000000005,0.015240676177348547
0,4.03,0.015316922420475795
0,4.032,0.015393983716325539
0,4.034,0.015471801694804712
0,4.0360000000000005,0.015550320290668574
0,4.038,0.015629485662364304
0,4.04,0.015709246113636225
0,4.042,0.015791799635655537
0,4.0440000000000005,0.01587699369358244
0,4.046,0.01596468151453774
0,4.048,0.016054721889628996
0,4.05,0.016146978982411617
0,4.0520000000000005,0.016241322143582305
0,4.054,0.016337625731709268
0,4.056,0.016435768939810927
0,4.058,0.016535635627602713
0,4.0600000000000005,0.016637114159238516
0,4.062,0.0167400972463785
0,4.064,0.016844481796421368
0,4.066,0.01695016876574434
0,4.0680000000000005,0.01705706301779886
0,4.07,0.017165073185913066
0,4.072,0.017274111540660077
0,4.074,0.017384093861650397
0,4.0760000000000005,0.017494939313614
0,4.078,0.01760657032664061
0,4.08,0.017718912480448365
0,4.082,0.01781187511196754
0,4.0840000000000005,0.017886274231650408
0,4.086,0.01794289683683088
0,4.088,0.01798250193184548
0,4.09,0.018005821511322566
0,4.0920000000000005,0.018013561507623135
0,4.094,0.018006402703533927
0,4.096,0.017985001611389453
0,4.098,0.01794999131983163
0,4.1,0.017901982309425076
0,4.102,0.017841563238335193
0,4.104,0.01776930169925512
0,4.106,0.01768574494873502
0,4.108,0.017591420610034426
0,4.11,0.017486837350575005
0,4.112,0.017372485535034572
0,4.114,0.01724883785507878
0,4.116,0.017116349936687727
0,4.118,0.016975460925993273
0,4.12,0.01682659405450515
0,4.122,0.016668950195539482
0,4.124,0.016502978148486235
0,4.126,0.016329110372899414
0,4.128,0.016147763547157384
0,4.13,0.01595933910763692
0,4.132,0.015764223769203653
0,4.134,0.015562790027784944
0,4.136,0.01535539664575858
0,4.138,0.015142389120860673
0,4.14,0.014924100139286793
0,4.142,0.014700850013634342
0,4.144,0.014472947106312271
0,4.146,0.014240688239019765
0,4.148,0.014004359088879557
0,4.15,0.013764234571792036
0,4.152,0.013520579213564917
0,4.154,0.013273647509359566
0,4.156,0.013023684271988299
0,4.158,0.012770924969589521
0,4.16,0.012515596053209045
0,4.162,0.01227692290993219
0,4.164,0.012054260544474546
0,4.166,0.011846986210948289
0,4.168,0.011654498738796813
0,4.17,0.011476217874367825
0,4.172,0.011311583637733073
0,4.174,0.011160055694381277
0,4.176,0.011021112741443483
0,4.178,0.010894251908145924
0,4.18,0.010778988170223535
0,4.182,0.010674853778073368
0,4.184,0.010581397698464352
0,4.186,0.010498185069665199
0,4.188,0.010424796669882865
0,4.19,0.01036082839894047
0,4.192,0.010305890773139667
0,4.194,0.010259608433277409
0,4.196,0.01022161966578864
0,4.198,0.010191575936989912
0,4.2,0.010169141440395721
0,4.202,0.010152827399069963
0,4.204,0.010142376722201136
0,4.206,0.010137541767849026
0,4.208,0.01013808401092805
0,4.21,0.01014377372158602
0,4.212,0.010154389653844938
0,4.214,0.010169718744345232
0,4.216,0.010189555821026444
0,4.218,0.010213703321554366
0,4.22,0.010241971021293565
0,4.222,0.010274175770610345
0,4.224,0.010310141241276724
0,4.226,0.010349697681741979
0,4.228,0.010392681681024656
0,4.23,0.010438935940976267
0,4.232,0.010488309056662577
0,4.234,0.010540655304607013
0,4.236,0.010595834438639724
0,4.238,0.01065371149309735
0,4.24,0.010714156593121506
0,4.242,0.010777044771807655
0,4.244,0.010842255793958686
0,4.246,0.010909673986207565
0,4.248,0.01097918807327268
0,4.25,0.011050691020123767
0,4.252,0.011124079879836732
0,4.2540000000000004,0.011199255646926958
0,4.256,0.011276123115955496
0,4.258,0.011354590745212322
0,4.26,0.011434570525285393
0,4.2620000000000005,0.011515977852333876
0,4.264,0.011598731405889648
0,4.266,0.011682753031018707
0,4.268,0.011767967624680438
0,4.2700000000000005,0.0118543030261296
0,4.272,0.01194168991121136
0,4.274,0.012030061690408635
0,4.276,0.012119354410500747
0,4.2780000000000005,0.012209506659705103
0,4.28,0.012300459476173456
0,4.282,0.012392156259722915
0,4.284,0.012484542686683324
0,4.2860000000000005,0.012577566627750444
0,4.288,0.012671178068737238
0,4.29,0.012765329034118814
0,4.292,0.012859973513272555
0,4.2940000000000005,0.01295506738931785
0,4.296,0.01305056837046207
0,4.298,0.013146435923766034
0,4.3,0.013242631211242268
0,4.3020000000000005,0.013339117028203801
0,4.304,0.013435857743786174
0,4.306,0.013532819243563782
0,4.308,0.013629968874189104
0,4.3100000000000005,0.013727275389983536
0,4.312,0.01382470890140971
0,4.314,0.013922240825362866
0,4.316,0.01401984383721413
0,4.3180000000000005,0.014117491824547398
0,4.32,0.014215159842527645
0,4.322,0.014313980230517477
0,4.324,0.014413875889837655
0,4.3260000000000005,0.014514772766226846
0,4.328,0.0146165997414329
0,4.33,0.014719288528525732
0,4.332,0.014822773570808974
0,4.3340000000000005,0.01492699194420956
0,4.336,0.01503188326303036
0,4.338,0.015137389588954064
0,4.34,0.015243455343189266
0,4.3420000000000005,0.015350027221655523
0,4.344,0.015457054113103044
0,4.346,0.015564487020073493
0,4.348,0.015672278982601394
0,4.3500000000000005,0.01578038500456854
0,4.352,0.01588876198262007
0,4.354,0.015997368637556724
0,4.356,0.016106165448118825
0,4.358,0.01621511458708263
0,4.36,0.016324179859589213
0,4.362,0.016435565436667535
0,4.364,0.01654913300518737
0,4.366,0.016664749608121695
0,4.368,0.016782287455893514
0,4.37,0.016901623743993663
0,4.372,0.017022640476687098
0,4.374,0.01714522429662574
0,4.376,0.017269266320192867
0,4.378,0.017394661978405595
0,4.38,0.017521310863208805
0,4.382,0.017649116578993543
0,4.384,0.017777986599180375
0,4.386,0.01790783212770916
0,4.388,0.0180385679652824
0,4.39,0.018170112380211472
0,4.392,0.018302386983718458
0,4.394,0.018435316609552534
0,4.396,0.018568829197779208
0,4.398,0.018702855682608606
0,4.4,0.018837329884129225
0,4.402,0.01895217087417005
0,4.404,0.019048204337869454
0,4.406,0.019126226355442876
0,4.408,0.019187004476112348
0,4.41,0.019231278747826666
0,4.412,0.019259762705027442
0,4.414,0.01927314431657816
0,4.416,0.019272086895843282
0,4.418,0.0192572299747821
0,4.42,0.019229190143807497
0,4.422,0.019188561859052065
0,4.424,0.01913591821858525
0,4.426,0.019071811709032237
0,4.428,0.018996774923959018
0,4.43,0.01891132125530746
0,4.432,0.018815945559092932
0,4.434,0.01871112479650375
0,4.436,0.018597318651481457
0,4.438,0.01847497012579846
0,4.44,0.018344506112598045
0,4.442,0.018205135651169102
0,4.444,0.01805731096685467
0,4.446,0.01790146777745656
0,4.448,0.017738025857941868
0,4.45,0.017567389585002317
0,4.452,0.01738994846230014
0,4.454,0.017206077627187292
0,4.456,0.017016138339648074
0,4.458,0.016820478454173702
0,4.46,0.01661943287524747
0,4.462,0.016413323997080086
0,4.464,0.016202462128209572
0,4.466,0.015987145901547633
0,4.468,0.015767662670427885
0,4.47,0.01554428889118776
0,4.472,0.015317290492787215
0,4.474,0.015086923233951551
0,4.476,0.014853433048297171
0,4.478,0.014617056377883648
0,4.48,0.014378020495615188
0,4.482,0.014154418153468481
